,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1198,2019-01-03 11:52:58.368,133.558,133.592,260,7500,2019-01-03,5208756,133.59086082474226,133.575,0.034000000000020236,68.27300000000042,-15,133.08086082474196,133.69369219967842,Facebook
1168,2019-01-03 11:57:54.372,133.228,133.303,17,900,2019-01-03,5220200,133.30160959651036,133.2655,0.07499999999998863,68.50400000000067,-23,131.57660959651062,133.48691980193587,Facebook
1065,2019-01-03 12:02:19.228,133.588,133.65,58,7500,2019-01-03,5218177,133.6495242127547,133.619,0.06200000000001182,69.08400000000012,36,135.88152421275512,133.4690222456684,Facebook
1097,2019-01-03 12:08:24.988,133.007,133.071,260,7500,2019-01-03,5217935,133.0688556701031,133.039,0.06399999999999295,70.25999999999945,-10,132.42885567010316,133.23601926183323,Facebook
1230,2019-01-03 12:14:34.161,133.518,133.612,10400,370,2019-01-03,5224919,133.52122934076135,133.565,0.09399999999999409,77.76499999999973,-9,132.6752293407614,133.37991649491929,Facebook
1259,2019-01-03 12:18:37.614,132.888,132.952,200,75,2019-01-03,5224704,132.90545454545455,132.92000000000002,0.06399999999999295,80.76600000000022,-2,132.77745454545456,133.14638942084244,Facebook
1261,2019-01-03 12:24:23.288,132.888,132.962,150,370,2019-01-03,5223444,132.94065384615385,132.925,0.07399999999998386,78.48200000000011,-14,131.90465384615408,133.11103814232365,Facebook
1146,2019-01-03 12:29:41.548,132.888,132.963,17,75,2019-01-03,5219005,132.94914130434782,132.9255,0.07499999999998863,72.07399999999939,13,133.92414130434767,132.93802339932108,Facebook
1164,2019-01-03 12:34:04.968,132.938,133.011,80,7500,2019-01-03,5223552,133.0102295514512,132.97449999999998,0.0730000000000075,77.35099999999923,5,133.37522955145124,133.00529365514464,Facebook
1129,2019-01-03 12:37:48.587,132.777,132.873,17,7950,2019-01-03,5217547,132.87279515501442,132.825,0.09600000000000364,78.27100000000038,18,134.60079515501448,132.95374292976086,Facebook
1103,2019-01-03 12:43:49.518,132.688,132.742,100,75,2019-01-03,5224459,132.71114285714285,132.71499999999997,0.054000000000002046,72.72800000000072,-14,131.95514285714282,132.80168508189004,Facebook
1251,2019-01-03 12:54:57.016,133.147,133.199,200,7500,2019-01-03,5223667,133.19764935064936,133.173,0.05200000000002092,79.49399999999986,40,135.2776493506502,133.08616584473404,Facebook
1185,2019-01-03 12:59:14.795,133.148,133.223,17,370,2019-01-03,5219330,133.2197054263566,133.1855,0.07500000000001705,74.14299999999889,16,134.41970542635687,133.1389356617844,Facebook
1095,2019-01-03 13:03:17.614,132.818,132.902,100,520,2019-01-03,5208577,132.88845161290322,132.86,0.08399999999997476,66.09599999999944,-6,132.38445161290338,133.01985423588903,Facebook
1063,2019-01-03 13:07:25.820,132.686,132.69,100,7500,2019-01-03,5221304,132.68994736842106,132.688,0.003999999999990678,61.72700000000023,0,132.68994736842106,132.8178714852199,Facebook
1071,2019-01-03 13:13:43.541,132.867,132.93,10200,7500,2019-01-03,5223664,132.89369491525423,132.8985,0.0630000000000166,67.8280000000014,2,133.01969491525426,132.7955367685658,Facebook
1113,2019-01-03 13:17:20.309,132.378,132.459,100,7500,2019-01-03,5225086,132.45793421052633,132.4185,0.08100000000001728,66.05400000000051,-16,131.16193421052606,132.5831379355719,Facebook
1177,2019-01-03 13:22:20.148,132.779,132.843,17,11,2019-01-03,5224790,132.80414285714284,132.81099999999998,0.06399999999999295,72.7140000000002,-24,131.268142857143,132.6947628967537,Facebook
1264,2019-01-03 13:29:26.475,132.627,132.679,260,7500,2019-01-03,5218363,132.67725773195878,132.65300000000002,0.0519999999999925,82.61999999999989,1,132.72925773195877,132.70909410698133,Facebook
1176,2019-01-03 13:33:58.480,132.397,132.453,200,7570,2019-01-03,5220577,132.45155855855856,132.425,0.056000000000011596,71.21799999999962,-21,131.27555855855832,132.58326052528378,Facebook
