,timestamp,bid,ask,bid_vol,ask_vol,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
975,2019-01-04 11:22:13.077,147.138,147.183,330,270,4991138,147.15824999999998,147.1605,0.044999999999987494,37.12600000000015,18,147.96824999999976,147.13382296952125,Google
983,2019-01-04 11:25:51.451,147.378,147.403,120,7500,4993083,147.4026062992126,147.39049999999997,0.025000000000005684,37.69099999999966,32,148.2026062992128,147.32395460904232,Google
963,2019-01-04 11:30:02.711,147.638,147.702,120,770,4991998,147.69337078651685,147.67000000000002,0.06399999999999295,35.70999999999992,-4,147.43737078651688,147.53410644357984,Google
937,2019-01-04 11:33:18.123,147.698,147.732,110,10300,4989868,147.73164073006726,147.715,0.033999999999991815,38.29600000000056,26,148.61564073006704,147.62298154066033,Google
950,2019-01-04 11:37:15.912,147.598,147.653,330,150,4996778,147.61518750000002,147.6255,0.0549999999999784,37.98300000000094,17,148.55018749999965,147.71850229454085,Google
1027,2019-01-04 11:41:29.388,147.418,147.449,110,7500,4988507,147.44855190538763,147.4335,0.03100000000000591,40.877000000000436,-2,147.38655190538762,147.50524416462312,Google
1005,2019-01-04 11:45:56.560,147.498,147.532,120,670,4997757,147.52683544303798,147.515,0.034000000000020236,39.31699999999961,14,148.00283544303826,147.47092191447234,Google
1036,2019-01-04 11:49:55.353,147.177,147.213,10200,610,4994260,147.1790314523589,147.195,0.036000000000001364,39.81600000000003,-25,146.27903145235888,147.28262832526343,Google
1007,2019-01-04 11:54:15.927,147.569,147.613,330,75,4982849,147.57714814814813,147.591,0.04400000000001114,38.55600000000058,38,149.24914814814855,147.43175165165655,Google
938,2019-01-04 11:57:35.287,147.038,147.068,120,7500,4995646,147.06752755905512,147.053,0.030000000000001137,35.332000000000505,-13,146.6775275590551,147.23269649455423,Google
1021,2019-01-04 12:01:20.601,147.038,147.081,120,7500,4995613,147.08032283464567,147.0595,0.042999999999977945,38.24000000000109,-8,146.73632283464585,147.11373152712335,Google
1076,2019-01-04 12:06:13.055,146.969,147.013,330,220,4993960,146.9866,146.99099999999999,0.04400000000001114,39.80999999999881,-29,145.7105999999997,147.0021763275752,Google
1102,2019-01-04 12:11:24.720,147.038,147.072,120,75,4982394,147.05107692307692,147.055,0.033999999999991815,40.066999999999894,-41,145.65707692307726,147.04028435577368,Google
983,2019-01-04 12:15:41.248,146.978,147.012,10300,10300,4996669,146.995,146.995,0.033999999999991815,37.2429999999992,-18,146.38300000000015,147.02969590643275,Google
1023,2019-01-04 12:19:50.116,147.367,147.4,120,7500,4982890,147.39948031496064,147.3835,0.03300000000001546,39.20599999999965,32,148.45548031496114,147.25692540535044,Google
1020,2019-01-04 12:24:34.627,147.339,147.382,330,530,4989821,147.36550000000003,147.3605,0.043000000000006366,37.42200000000068,35,148.87050000000025,147.39871515105224,Google
1112,2019-01-04 12:30:42.236,147.317,147.352,330,220,4988400,147.33100000000002,147.3345,0.03499999999999659,40.15600000000106,-23,146.5260000000001,147.3833036973338,Google
1158,2019-01-04 12:35:42.583,147.568,147.602,120,1270,4996500,147.59906474820144,147.585,0.033999999999991815,42.45999999999961,-17,147.02106474820158,147.4963388044663,Google
